startYear,showName,theatre,type,attendance,capacity,grossEarnings,performances
2006,The Wedding Singer,Al Hirschfeld,Musical,7999,70,506741,8
2006,Wicked,Gershwin,Musical,14472,100,1402177,8
2006,A Chorus Line '06,Schoenfeld,Musical,8405,98,848774,8
2006,Avenue Q,Golden,Musical,5081,80,341030,8
2006,Beauty And The Beast,Lunt-Fontanne,Musical,9230,76,613678,8
2006,Butley,Booth,Play,5688,91,421300,8
2006,Chicago,Ambassador,Musical,6555,87,459791,7
2006,Company 06,Ethel Barrymore,Musical,6359,75,432950,0
2006,Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,14448,66,931348,12
2006,Grey Gardens,Walter Kerr,Musical,6306,85,504924,8
2006,Hairspray,Neil Simon,Musical,8849,77,550740,8
2006,Heartbreak House,American Airlines,Play,5062,86,234678,8
2006,Jay Johnson: The Two And Only,Helen Hayes,Play,952,20,40616,8
2006,Jersey Boys,August Wilson,Musical,9842,101,1169548,8
2006,Les Miserables 2006,Broadhurst,Musical,8372,93,710895,8
2006,Losing Louie,Biltmore,Play,2826,54,149102,8
2006,Mamma Mia!,Cadillac Winter Garden,Musical,11473,96,924408,8
2006,Martin Short: Fame Becomes Me,Jacobs,Musical,5405,66,430864,8
2006,Mary Poppins,New Amsterdam,Musical,9548,76,734275,5
2006,Monty Python'S Spamalot,Shubert,Musical,10155,88,871596,8
2006,Rent,Nederlander,Musical,5106,54,292756,8
2006,Spring Awakening,Eugene O'Neill,Musical,2710,50,135496,0
2006,Tarzan,Richard Rodgers,Musical,8300,79,593543,8
2006,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4139,76,262255,8
2006,The Coast Of Utopia,Vivian Beaumont,Play,2906,93,181448,0
2006,The Color Purple,Broadway,Musical,11630,85,878363,8
2006,The Drowsy Chaperone,Marquis,Musical,10960,85,908573,8
2006,The Lion King,Minskoff,Musical,10765,84,1025444,8
2006,The Little Dog Laughed,Cort,Play,4025,46,191181,8
2006,The Phantom Of The Opera,Majestic,Musical,9529,74,643344,8
2006,The Producers,St. James,Musical,7805,57,510964,8
2006,The Times They Are A-Changin',Brooks Atkinson,Musical,5906,74,319294,8
2006,The Vertical Hour,Music Box,Play,7812,98,581687,0
2006,The Wedding Singer,Al Hirschfeld,Musical,6342,56,410810,8
2006,Wicked,Gershwin,Musical,14343,99,1386066,8
2006,A Chorus Line '06,Schoenfeld,Musical,8651,101,938609,8
2006,Avenue Q,Golden,Musical,6058,95,463248,8
2006,Beauty And The Beast,Lunt-Fontanne,Musical,10610,88,874387,8
2006,Butley,Booth,Play,4704,75,346290,8
2006,Chicago,Ambassador,Musical,8006,93,640613,8
2006,Company 06,Ethel Barrymore,Musical,5932,70,428378,0
2006,Dr. Seuss' How The Grinch Stole Christmas!,Hilton Theatre,Musical,19204,87,1578149,12
2006,Grey Gardens,Walter Kerr,Musical,5285,72,455455,8
2006,Hairspray,Neil Simon,Musical,9821,86,768869,8
2006,Heartbreak House,American Airlines,Play,4879,82,234427,8
2006,High Fidelity,Imperial,Musical,5438,47,308396,0
2006,Jay Johnson: The Two And Only,Helen Hayes,Play,1743,37,84416,8
2006,Jersey Boys,August Wilson,Musical,9848,101,1182602,8
2006,Les Miserables 2006,Broadhurst,Musical,9128,102,873995,8
2006,Losing Louie,Biltmore,Play,2352,45,121378,8
2006,Mamma Mia!,Cadillac Winter Garden,Musical,11792,98,1055398,8
2006,Martin Short: Fame Becomes Me,Jacobs,Musical,5740,70,491011,8
2006,Mary Poppins,New Amsterdam,Musical,14070,98,1241413,8
2006,Monty Python'S Spamalot,Shubert,Musical,11491,100,1081866,8
2006,Rent,Nederlander,Musical,6474,69,442846,8
2006,Spring Awakening,Eugene O'Neill,Musical,3695,42,200224,0
2006,Tarzan,Richard Rodgers,Musical,9281,88,919950,8
2006,The 25Th Annual Putnam County Spelling Bee,Circle In The Square,Musical,4949,90,378682,8
2006,The Coast Of Utopia,Vivian Beaumont,Play,3885,93,254425,0
2006,The Color Purple,Broadway,Musical,10430,76,908419,8
2006,The Drowsy Chaperone,Marquis,Musical,11477,89,1031638,8
2006,The Lion King,Minskoff,Musical,12702,99,1402984,8
